humidity, celsius, farenheit, heat_index
41.00,24.10,75.38,74.55
41.00,24.10,75.38,74.55
42.00,24.00,75.20,74.39
42.00,24.00,75.20,74.39
42.00,24.00,75.20,74.39
41.00,24.00,75.20,74.35
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
41.00,23.90,75.02,74.15
42.00,23.90,75.02,74.20
41.00,23.90,75.02,74.15
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
41.00,23.90,75.02,74.15
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
43.00,23.90,75.02,74.24
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
41.00,23.90,75.02,74.15
43.00,23.90,75.02,74.24
42.00,23.90,75.02,74.20
43.00,23.80,74.84,74.04
42.00,23.80,74.84,74.00
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
43.00,23.90,75.02,74.24
43.00,23.90,75.02,74.24
43.00,23.80,74.84,74.04
42.00,23.90,75.02,74.20
43.00,23.80,74.84,74.04
43.00,23.80,74.84,74.04
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
43.00,23.90,75.02,74.24
43.00,23.80,74.84,74.04
43.00,23.80,74.84,74.04
43.00,23.90,75.02,74.24
42.00,23.80,74.84,74.00
42.00,23.80,74.84,74.00
42.00,23.90,75.02,74.20
41.00,23.80,74.84,73.95
42.00,23.80,74.84,74.00
42.00,23.90,75.02,74.20
42.00,23.80,74.84,74.00
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
43.00,23.90,75.02,74.24
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
41.00,23.90,75.02,74.15
42.00,23.90,75.02,74.20
41.00,23.90,75.02,74.15
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
43.00,23.90,75.02,74.24
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
43.00,23.90,75.02,74.24
43.00,23.90,75.02,74.24
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
43.00,23.90,75.02,74.24
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
43.00,23.90,75.02,74.24
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
41.00,23.90,75.02,74.15
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
43.00,23.90,75.02,74.24
43.00,23.90,75.02,74.24
42.00,23.90,75.02,74.20
43.00,23.90,75.02,74.24
42.00,23.90,75.02,74.20
43.00,23.90,75.02,74.24
42.00,23.90,75.02,74.20
43.00,23.80,74.84,74.04
43.00,23.80,74.84,74.04
42.00,23.80,74.84,74.00
43.00,23.80,74.84,74.04
43.00,23.80,74.84,74.04
43.00,23.80,74.84,74.04
43.00,23.90,75.02,74.24
43.00,23.80,74.84,74.04
43.00,23.80,74.84,74.04
42.00,23.90,75.02,74.20
43.00,23.80,74.84,74.04
43.00,23.80,74.84,74.04
43.00,23.80,74.84,74.04
43.00,23.80,74.84,74.04
43.00,23.80,74.84,74.04
42.00,23.80,74.84,74.00
43.00,23.80,74.84,74.04
42.00,23.80,74.84,74.00
42.00,23.90,75.02,74.20
42.00,23.90,75.02,74.20
42.00,23.80,74.84,74.00
42.00,23.90,75.02,74.20
42.00,23.80,74.84,74.00
42.00,23.80,74.84,74.00
42.00,23.70,74.66,73.80
42.00,23.70,74.66,73.80
43.00,23.70,74.66,73.85
42.00,23.70,74.66,73.80
43.00,23.70,74.66,73.85
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.70,74.66,73.85
43.00,23.60,74.48,73.65
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.40,74.12,73.25
43.00,23.40,74.12,73.25
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
43.00,23.40,74.12,73.25
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
43.00,23.40,74.12,73.25
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.40,74.12,73.30
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
43.00,23.30,73.94,73.06
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
45.00,23.30,73.94,73.15
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
45.00,23.30,73.94,73.15
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
42.00,23.30,73.94,73.01
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
44.00,23.30,73.94,73.10
43.00,23.40,74.12,73.25
44.00,23.40,74.12,73.30
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.40,74.12,73.30
43.00,23.40,74.12,73.25
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
44.00,23.30,73.94,73.10
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
43.00,23.30,73.94,73.06
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
43.00,23.30,73.94,73.06
44.00,23.30,73.94,73.10
43.00,23.30,73.94,73.06
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.30,73.94,73.10
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
43.00,23.40,74.12,73.25
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
43.00,23.40,74.12,73.25
43.00,23.40,74.12,73.25
43.00,23.40,74.12,73.25
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
44.00,23.40,74.12,73.30
43.00,23.40,74.12,73.25
43.00,23.40,74.12,73.25
44.00,23.40,74.12,73.30
43.00,23.40,74.12,73.25
44.00,23.40,74.12,73.30
43.00,23.40,74.12,73.25
43.00,23.40,74.12,73.25
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
44.00,23.50,74.30,73.50
44.00,23.50,74.30,73.50
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.60,74.48,73.65
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.60,74.48,73.65
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
42.00,23.50,74.30,73.40
43.00,23.50,74.30,73.45
42.00,23.50,74.30,73.40
43.00,23.60,74.48,73.65
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.50,74.30,73.45
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.50,74.30,73.45
43.00,23.60,74.48,73.65
43.00,23.50,74.30,73.45
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
43.00,23.60,74.48,73.65
